Public Service Employee Survey Questions	2022 PSES	2020 PSES	2019 PSES	2018 PSES	2017 PSES
Having the flexibility to choose where I work allows me to have a better work-life-balance.table 1 note*	97	N/A	N/A	N/A	N/A
I am concerned that I will miss out on career opportunities if I am not at the Government of Canada worksite as often as others.table 1 note*	98	N/A	N/A	N/A	N/A
I believe team members who attend meetings virtually would feel less included than those who attend in person.table 1 note*	99	N/A	N/A	N/A	N/A
For which department or agency are you currently working?	100	98	88	74	96,97
In which organizational unit are you currently working?	101	99	89	75	98
Are you currently a shift worker?	102	100	90	76	99
Do you work full-time or part-time?	103	101	91	N/A	100
What is your current employee status?	104	105	93	77	102
Please indicate your occupational group.	105a	106a	94a	78a	103a
Please indicate your level.	105b	106b	94b	78b	103b
What are the language requirements of your current position?	106	N/A	99	N/A	108
What kind of work are you doing in your current job?table 1 note*	107	N/A	N/A	N/A	N/A
What are your most important activities or duties in your current job?table 1 note*	108	N/A	N/A	N/A	N/A
With which of the following communities do you most closely identify in relation to your current job?	109	107	95	79	104
In total, how many years have you been working in the federal public service?	110	108	96	80	105
In total, how many years have you been working in your current department or agency?	111	109	97	81	106
What is your first official language?	112	110	98	82	107
Do you occupy a position in which you provide services directly to the public as a regular part of your job?	113	111	100	83	109
In which province or territory do you work?	114	112	102	84	111
Do you work in one of the following designated bilingual areas of Quebec or Ontario?	115	113	103	N/A	112
What is your age group?	116	114	104	85	113
What is your gender?table 1 note**	117	115	105	86	114
Are you a person with a disability?table 1 note**	118	118	N/A	N/A	N/A
Do you identify as an Indigenous person?table 1 note**	119	116	106	87	116
Which racial group do you identify with?table 1 note*	120	N/A	N/A	N/A	N/A
Which ethnic origins do you identify with?table 1 note*	121	N/A	N/A	N/A	N/A
Do you identify as 2SLGBTQIA+?table 1 note*	122	N/A	N/A	N/A	N/A
The purpose of employment equity is to achieve equality in the workplace and to correct the disadvantages experienced by various groups. If you would like to identify as being a part of an equity-seeking group not listed above, or if the options above do not accurately reflect your identity, you may self-identify using the open text box below. Otherwise, press the Next button to go to the next question.table 1 note*	123	N/A	N/A	N/A	N/A
